ticker,return_type,model,n,r2,adj_r2,const,const_se_hc3,const_p_hc3,Mkt_RF,Mkt_RF_se_hc3,Mkt_RF_p_hc3,SMB,SMB_se_hc3,SMB_p_hc3,HML,HML_se_hc3,HML_p_hc3,RMW,RMW_se_hc3,RMW_p_hc3,CMA,CMA_se_hc3,CMA_p_hc3
MSFT,price,CAPM,31,0.27862911558111425,0.2537542574977043,-0.008927278874225772,0.014793431738868523,0.546201164155635,1.242544932707524,0.25586971845035916,1.1968249412792116e-06,,,,,,,,,,,,
MSFT,price,FF3,31,0.4595645500546718,0.3995161667274131,-0.007510220912870905,0.01343402162709527,0.5761310960195662,1.1236644867854464,0.24146340776340758,3.2625240723164703e-06,-0.7168606658547627,0.3303372533031555,0.030000235909641505,-0.6637188280769986,0.3407579874228699,0.05144226409312628,,,,,,
MSFT,price,FF5,31,0.6735979062523019,0.6083174875027623,-0.003961765943906107,0.015284774983819407,0.7954833404593736,1.3488062414852673,0.3415130461092563,7.831416462599312e-05,-0.4821340244270129,0.3266260786613908,0.13991600549262304,-0.9863384367835297,0.3800381983901804,0.009449008204387285,1.2904304063315566,0.994980221298744,0.1946515699102943,-0.17379718434336466,0.5469287560438258,0.7506599168968973
MSFT,dividend_inclusive_approx,CAPM,31,0.2813437607132352,0.25656251108265704,-0.008393835082497384,0.014768085750413261,0.5697792431406931,1.2500032160078938,0.25683120722154557,1.1329224283061755e-06,,,,,,,,,,,,
MSFT,dividend_inclusive_approx,FF3,31,0.4612847975945884,0.401427552882876,-0.00705698073394889,0.013426066464296402,0.5991537237666422,1.1340042525885259,0.24283178142706982,3.013215252331273e-06,-0.7211306732246228,0.3279106656688956,0.027865972204206745,-0.6563661483377728,0.33777810063916874,0.05199352021229603,,,,,,
MSFT,dividend_inclusive_approx,FF5,31,0.6750095617943073,0.6100114741531688,-0.0034602463455749586,0.015245987231706656,0.8204539745960733,1.360161581438359,0.34217097776695304,7.035165324172772e-05,-0.48558497022138125,0.3295971235348555,0.1406787241592118,-0.9864028738804358,0.38162105423091297,0.009744381194408881,1.2892125117424287,0.9920615196657699,0.19376251793316646,-0.15643316851815386,0.5445628897457895,0.7739103898073761
WMT,price,CAPM,31,0.14238603911106684,0.11281314390800012,0.014687119783071325,0.010587907610696825,0.16539304114967335,0.6306139065148725,0.32654353853067947,0.05346096460119547,,,,,,,,,,,,
WMT,price,FF3,31,0.14471540322043797,0.04968378135604212,0.014481910185472163,0.01264669666970848,0.25216191142916056,0.6433238762335035,0.3862641799191962,0.09581258712085167,0.05129119811279936,0.3948240011282335,0.8966384097357969,0.06073056563050021,0.422124815206065,0.8856041200651104,,,,,,
WMT,price,FF5,31,0.2275072826926271,0.07300873923115259,0.01498790129735958,0.014798981705392834,0.3111720802729132,0.7171357053229158,0.41191940745121025,0.08169038012473633,0.13312873431674896,0.44906149183185307,0.7668788704908781,0.0763953743617513,0.5179001484040464,0.8827296038406527,0.5664329755974029,0.7385232556586012,0.44309307753741445,-0.4266279842619008,0.6965106351976669,0.540192544745888
WMT,dividend_inclusive_approx,CAPM,31,0.14258709085711085,0.11302112847287327,0.015528652477728302,0.010505213818119061,0.13935819153315585,0.628941843553543,0.3233615112681315,0.05177359963909449,,,,,,,,,,,,
WMT,dividend_inclusive_approx,FF3,31,0.14492051879300905,0.04991168754778774,0.015206350480188053,0.012568020526248882,0.22630803214840933,0.6456409739554745,0.3825511172761211,0.09146408590221562,0.04252040834537693,0.39352258636508464,0.913955439687342,0.06975585280065293,0.41750639451102395,0.8673092049210238,,,,,,
WMT,dividend_inclusive_approx,FF5,31,0.22966570193493097,0.07559884232191716,0.015724321561883324,0.014750245947473992,0.2864064990241696,0.7202844119273581,0.4076016422350249,0.07720673792695545,0.12523332947864058,0.4445327783222028,0.7781589849592314,0.08443719038787192,0.5071398219603831,0.8677659502394559,0.5714452555915353,0.7434564623472786,0.4421111418635718,-0.42790368548598273,0.6887778753601127,0.5344347349686687
JPM,price,CAPM,31,0.31760812703942776,0.29407737279940793,0.010755218704139109,0.008228666576873378,0.19119820481803806,0.8582203520033567,0.2146246020457715,6.369015022328801e-05,,,,,,,,,,,,
JPM,price,FF3,31,0.40358774841736433,0.33731972046373815,0.006829623013175593,0.008955847743129665,0.4457090771344878,1.0227060644467152,0.25679085093656845,6.815333838279095e-05,0.06435882794838371,0.3420298796161465,0.8507455306532512,0.5440514145330521,0.33070135767204684,0.09994008117107092,,,,,,
JPM,price,FF5,31,0.41412698610804033,0.29695238332964846,0.007541117200408076,0.011375535477356308,0.5073791330897803,1.0583001626003938,0.27107999489096485,9.461020699678651e-05,0.10035026089076832,0.41545955910967,0.8091363219519875,0.46524500518470757,0.5148211596939171,0.36615334197504945,0.1711888712509846,0.48867664432843066,0.726105207515486,0.057151500058757465,0.6518573920385122,0.9301351082145787
JPM,dividend_inclusive_approx,CAPM,31,0.31388674583804643,0.2902276681083239,0.012677795388268524,0.008310212017658558,0.1271174307704844,0.8550165578049524,0.21093442763187384,5.046328623100392e-05,,,,,,,,,,,,
JPM,dividend_inclusive_approx,FF3,31,0.39754500454364483,0.3306055606040498,0.008969067192259579,0.00901009327192214,0.3195190778809198,1.0119188243942574,0.25379416754791956,6.686796500385263e-05,0.07832904250782521,0.34271359983498056,0.8192144957686409,0.5258033919622398,0.3380385636663288,0.11983801291774324,,,,,,
JPM,dividend_inclusive_approx,FF5,31,0.4081545855321397,0.2897855026385676,0.009564148720827972,0.011504392267309912,0.4057773005046518,1.0459490994352434,0.2702225793451214,0.00010852564935565743,0.11337177867646558,0.4164932436134238,0.7854639631339909,0.4661898256020459,0.5240802944543221,0.373713509350019,0.18223978247930428,0.49856588868431545,0.714717324148104,0.006756542331881388,0.6555198928692195,0.9917762291915685
