Model,Variable,Coefficient,Robust_SE_HC3,t,p,N,R2,Adj_R2
(1),const,3.540324499687505,0.5424699261674468,6.526305568125994,6.741172508915236e-11,45.0,0.35833750827497535,0.3434151247464864
(1),Beta,3.5791182510427175,0.5042154798714815,7.098390259567183,1.2621835111762364e-12,45.0,0.35833750827497535,0.3434151247464864
(2),const,5.3412540995787845,0.2711404939199886,19.69921210350434,2.1900157188223326e-86,45.0,0.9900505814941576,0.989576799660546
(2),Beta,3.316167493731433,0.24890060558070518,13.323260045890796,1.695394691571082e-40,45.0,0.9900505814941576,0.989576799660546
(2),D_weight,-0.05250443103557096,0.00141092437505024,-37.21278898006237,4.2388273560203773e-303,45.0,0.9900505814941576,0.989576799660546
(3),const,5.326076270334316,0.36819489255465854,14.465372491672085,2.0051651417446648e-47,45.0,0.9900611609509462,0.9893339288254057
(3),Beta,3.312092520473373,0.24555970440411393,13.487931696736009,1.8419562171169995e-41,45.0,0.9900611609509462,0.9893339288254057
(3),D_weight,-0.05241533656481411,0.001323461023704184,-39.60474515381711,0.0,45.0,0.9900611609509462,0.9893339288254057
(3),Stock_SD,0.0003934428611275242,0.002656209735989674,0.14812191062952032,0.8822465579966575,45.0,0.9900611609509462,0.9893339288254057
(4),const,5.376958241440746,1.0633879626347296,5.056440763273633,4.271534673489102e-07,45.0,0.99006289085826,0.989069179944086
(4),Beta,3.313450571024223,0.23996285556562744,13.808181117089713,2.275035803670637e-43,45.0,0.99006289085826,0.989069179944086
(4),D_weight,-0.05243016733911095,0.0012637488573978288,-41.48780592931203,0.0,45.0,0.99006289085826,0.989069179944086
(4),Stock_SD,0.0005751578827809266,0.002220848355380667,0.25898115978402364,0.7956497770157864,45.0,0.99006289085826,0.989069179944086
(4),AfterTax_Cost_Debt,-0.01549824611547449,0.22856710223244242,-0.06780611017115434,0.9459399797462182,45.0,0.99006289085826,0.989069179944086
