Robustness_Test,SE,Dependent_Variable,Focus_Variable,Coefficient,SE_Value,p,N,R2
A: SE estimator,nonrobust,WACC,Beta,3.313450571024223,0.09779026543571423,4.462784629148721e-31,45.0,0.99006289085826
A: SE estimator,HC1,WACC,Beta,3.313450571024223,0.1762890006002976,8.210819106286486e-79,45.0,0.99006289085826
A: SE estimator,HC3,WACC,Beta,3.313450571024223,0.23996285556562744,2.275035803670637e-43,45.0,0.99006289085826
B: Alternative DV,HC3,Cost_Equity,Beta,4.597486743673732,0.01189268213806357,0.0,45.0,0.9997535383914291
C: 5/95 winsorized,HC3,WACC,Beta,3.683447435545681,0.20041021137144197,1.915874438833931e-75,45.0,0.9834711599771173
D: Exclude financials,HC3,WACC,Beta,3.5303161736877327,0.09674260790983702,1.4937450856419383e-291,41.0,0.9922176576582844
